Defining Site,Latitude,Longitude,Elevation,Land Use,Location Setting,State Name,County Name,County Code,City Name,CBSA Name
06-079-8001,35.49158,-120.66803999999999,277.0,COMMERCIAL,SUBURBAN,California,San Luis Obispo,79,Atascadero,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-8002,35.49453,-120.66617,260.0,COMMERCIAL,SUBURBAN,California,San Luis Obispo,79,Atascadero,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-8005,35.643679999999996,-120.23135,712.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Not in a City,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-8006,35.35472,-120.04019,626.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Not in a City,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-079-9001,35.008759999999995,-120.59998,34.0,AGRICULTURAL,RURAL,California,San Luis Obispo,79,Nipomo,"San Luis Obispo-Paso Robles-Arroyo Grande, CA"
06-081-0001,37.597157,-122.36469299999999,9.0,COMMERCIAL,SUBURBAN,California,San Mateo,81,Burlingame,"San Francisco-Oakland-Hayward, CA"
06-081-0002,37.527994,-122.34719299999999,23.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Mateo,81,Burlingame,"San Francisco-Oakland-Hayward, CA"
06-081-1001,37.482934,-122.20336999999999,3.0,INDUSTRIAL,SUBURBAN,California,San Mateo,81,Redwood City,"San Francisco-Oakland-Hayward, CA"
06-081-2001,37.584101000000004,-122.251078,15.0,MOBILE,SUBURBAN,California,San Mateo,81,San Mateo,"San Francisco-Oakland-Hayward, CA"
06-081-2002,37.508813,-122.24729099999999,1.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Mateo,81,San Carlos,"San Francisco-Oakland-Hayward, CA"
06-081-2003,37.518769,-122.249353,2.0,COMMERCIAL,URBAN AND CENTER CITY,California,San Mateo,81,San Carlos,"San Francisco-Oakland-Hayward, CA"
06-081-2004,37.508162,-122.246305,1.0,MOBILE,URBAN AND CENTER CITY,California,San Mateo,81,Not in a City,"San Francisco-Oakland-Hayward, CA"
06-081-6001,37.51706,-122.25181,1.0,RESIDENTIAL,SUBURBAN,California,San Mateo,81,San Carlos,"San Francisco-Oakland-Hayward, CA"
06-083-0001,34.338607,-119.505121,15.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Carpinteria,"Santa Maria-Santa Barbara, CA"
06-083-0002,34.513601,-120.00653100000001,30.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-0003,34.514708,-120.41766100000001,114.0,UNKNOWN,RURAL,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-0004,34.419996999999995,-119.70069,27.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-0005,34.412776,-119.76847099999999,70.0,RESIDENTIAL,SUBURBAN,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-0007,34.434994,-119.912917,45.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Goleta,"Santa Maria-Santa Barbara, CA"
06-083-0008,34.46245,-120.02551000000001,42.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-0009,34.419996999999995,-119.70069,16.0,MOBILE,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-0010,34.421386,-119.702079,71.0,MOBILE,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-0011,34.427775,-119.69121799999999,20.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-1001,34.631099,-120.457071,40.0,RESIDENTIAL,SUBURBAN,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-1002,34.442776,-119.77843999999999,33.0,RESIDENTIAL,SUBURBAN,California,Santa Barbara,83,Goleta,"Santa Maria-Santa Barbara, CA"
06-083-1006,34.952756,-120.43294099999999,76.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-1007,34.948034,-120.435441,0.0,COMMERCIAL,SUBURBAN,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-1008,34.942871999999994,-120.43561100000001,76.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-1010,34.924423,-120.40182800000001,79.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-1011,34.511652000000005,-120.49988700000002,6.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Jalama,"Santa Maria-Santa Barbara, CA"
06-083-1012,34.451931,-120.458773,55.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Concepcion,"Santa Maria-Santa Barbara, CA"
06-083-1013,34.725352,-120.42871699999999,220.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-1014,34.54166,-119.79146000000001,371.0,FOREST,RURAL,California,Santa Barbara,83,Los Padres National Forest,"Santa Maria-Santa Barbara, CA"
06-083-1015,34.478045,-120.21181599999998,91.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1016,34.477767,-120.20653899999999,105.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1017,34.471378,-120.22181599999999,29.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1018,34.527440000000006,-120.1965,303.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1019,34.475266999999995,-120.189871,82.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1020,34.414941999999996,-119.87951100000001,9.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Isla Vista,"Santa Maria-Santa Barbara, CA"
06-083-1021,34.403052,-119.45791399999999,137.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Carpinteria,"Santa Maria-Santa Barbara, CA"
06-083-1022,34.718871,-120.43266299999999,173.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-1023,34.471378,-120.22181599999999,29.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1024,34.472212,-120.17737,35.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Gaviota,"Santa Maria-Santa Barbara, CA"
06-083-1025,34.489740000000005,-120.04692,184.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1026,34.479434999999995,-120.03347600000001,257.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1027,34.469158,-120.04042,146.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1028,34.480824,-120.043754,109.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1029,34.9322,-120.607671,122.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Guadalupe,"Santa Maria-Santa Barbara, CA"
06-083-1030,34.452209,-120.421549,21.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Concepcion,"Santa Maria-Santa Barbara, CA"
06-083-1033,34.388333,-119.50638899999998,15.0,INDUSTRIAL,SUBURBAN,California,Santa Barbara,83,Carpinteria,"Santa Maria-Santa Barbara, CA"
06-083-1037,34.464529999999996,-120.04498000000001,10.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1038,34.478602,-120.042643,97.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1039,34.486658,-120.044587,156.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-1040,34.481658,-120.043198,110.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Capitan,"Santa Maria-Santa Barbara, CA"
06-083-2001,34.38333,-119.63429599999999,4.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Barbara,"Santa Maria-Santa Barbara, CA"
06-083-2002,34.445275,-119.79513899999999,50.0,RESIDENTIAL,SUBURBAN,California,Santa Barbara,83,Goleta,"Santa Maria-Santa Barbara, CA"
06-083-2003,34.83748,-120.432107,65.0,INDUSTRIAL,SUBURBAN,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-2004,34.63782,-120.4575,41.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Lompoc,"Santa Maria-Santa Barbara, CA"
06-083-2005,34.87213,-120.377554,213.0,INDUSTRIAL,RURAL,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-2008,34.988865999999994,-120.513501,39.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-2009,34.974144,-120.56961399999999,24.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Guadalupe,"Santa Maria-Santa Barbara, CA"
06-083-2010,34.974145,-120.53628,34.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-2011,34.44551,-119.8284,14.0,RESIDENTIAL,SUBURBAN,California,Santa Barbara,83,Goleta,"Santa Maria-Santa Barbara, CA"
06-083-2012,34.001689,-120.04823,18.0,FOREST,RURAL,California,Santa Barbara,83,Channel Islands National Park,"Santa Maria-Santa Barbara, CA"
06-083-2015,34.433465999999996,-119.86506200000001,30.0,INDUSTRIAL,SUBURBAN,California,Santa Barbara,83,Goleta,"Santa Maria-Santa Barbara, CA"
06-083-3001,34.605819,-120.075069,210.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Not in a City,"Santa Maria-Santa Barbara, CA"
06-083-3002,34.958311,-120.43016399999999,66.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-4001,34.949422,-120.43516399999999,66.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Barbara,83,Santa Maria,"Santa Maria-Santa Barbara, CA"
06-083-4002,34.709426,-120.53572199999999,137.0,MOBILE,URBAN AND CENTER CITY,California,Santa Barbara,83,Vandenberg Air Force Base,"Santa Maria-Santa Barbara, CA"
06-083-4003,34.5959,-120.63131499999999,104.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Vandenberg Air Force Base,"Santa Maria-Santa Barbara, CA"
06-083-4004,34.577057,-120.64098600000001,52.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Vandenberg Air Force Base,"Santa Maria-Santa Barbara, CA"
06-083-5001,34.780814,-120.60739299999999,87.0,AGRICULTURAL,RURAL,California,Santa Barbara,83,Vandenberg Air Force Base,"Santa Maria-Santa Barbara, CA"
06-083-9000,34.733889000000005,-120.008349,957.0,FOREST,RURAL,California,Santa Barbara,83,Not in a City,"Santa Maria-Santa Barbara, CA"
06-085-0001,37.001337,-121.51493899999998,55.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0002,36.999571,-121.574684,63.0,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,Gilroy,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0003,37.315471,-121.875197,41.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0004,37.339665999999994,-121.888575,25.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0005,37.348496999999995,-121.894898,31.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0006,37.338135,-121.849783,30.9,MOBILE,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-0386,37.391607,-121.84356499999998,64.0,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-1001,37.226862,-121.979675,116.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Los Gatos,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-1002,37.3735,-122.07700000000001,43.0,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,Mountain View,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2001,37.335469,-122.061035,26.0,INDUSTRIAL,SUBURBAN,California,Santa Clara,85,Cupertino,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2002,37.315748,-121.93242,33.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Fruitdale,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2003,37.3062,-121.84885,38.0,INDUSTRIAL,SUBURBAN,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2004,37.322998,-121.92717900000001,36.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2005,37.3915,-121.8422,62.0,RESIDENTIAL,RURAL,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2006,37.079378999999996,-121.600031,86.0,RESIDENTIAL,RURAL,California,Santa Clara,85,San Martin,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2007,37.355475,-122.050845,56.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2008,37.402244,-122.066597,17.5,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,Mountain View,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2009,37.318435,-122.069705,124.0,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,Cupertino,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2010,37.457621,-122.11228600000001,2.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Palo Alto,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-2011,37.329840999999995,-121.81543799999999,41.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-3001,37.316609,-121.92773400000002,36.0,RESIDENTIAL,SUBURBAN,California,Santa Clara,85,San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-4000,37.359403,-121.924423,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Not in a City,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-4001,37.374913,-122.03075700000001,42.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Sunnyvale,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-4002,37.359403,-121.924423,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Not in a City,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-5506,37.32756,-122.0646,0.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Cupertino,"San Jose-Sunnyvale-Santa Clara, CA"
06-085-6001,37.359403,-121.924423,16.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Clara,85,Not in a City,"San Jose-Sunnyvale-Santa Clara, CA"
06-087-0001,36.98995,-121.92579199999999,78.0,RESIDENTIAL,SUBURBAN,California,Santa Cruz,87,Aptos,"Santa Cruz-Watsonville, CA"
06-087-0002,36.984671999999996,-122.004406,21.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Cruz,87,Santa Cruz,"Santa Cruz-Watsonville, CA"
06-087-0003,37.011894,-122.19441299999998,0.0,RESIDENTIAL,RURAL,California,Santa Cruz,87,Davenport,"Santa Cruz-Watsonville, CA"
06-087-0004,36.933285,-121.79689599999999,67.0,COMMERCIAL,SUBURBAN,California,Santa Cruz,87,Watsonville,"Santa Cruz-Watsonville, CA"
06-087-0005,37.062447999999996,-121.99273899999999,0.0,RESIDENTIAL,SUBURBAN,California,Santa Cruz,87,Scotts Valley,"Santa Cruz-Watsonville, CA"
06-087-0006,37.052170000000004,-122.013573,122.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Cruz,87,Scotts Valley,"Santa Cruz-Watsonville, CA"
06-087-0007,36.98332,-121.98822,28.0,COMMERCIAL,SUBURBAN,California,Santa Cruz,87,Live Oak,"Santa Cruz-Watsonville, CA"
06-087-0008,37.049115,-122.019962,122.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Santa Cruz,87,Scotts Valley,"Santa Cruz-Watsonville, CA"
06-087-1001,36.983839,-121.98746100000001,28.0,,,California,Santa Cruz,87,Santa Cruz,"Santa Cruz-Watsonville, CA"
06-087-1002,37.050781,-122.03163,171.0,MOBILE,SUBURBAN,California,Santa Cruz,87,Scotts Valley,"Santa Cruz-Watsonville, CA"
06-087-1003,37.07206,-122.00764,226.0,RESIDENTIAL,SUBURBAN,California,Santa Cruz,87,Scotts Valley,"Santa Cruz-Watsonville, CA"
06-087-1004,37.048008,-122.075695,88.0,RESIDENTIAL,SUBURBAN,California,Santa Cruz,87,Felton,"Santa Cruz-Watsonville, CA"
06-087-1005,37.06315,-122.083092,108.0,RESIDENTIAL,RURAL,California,Santa Cruz,87,Not in a City,"Santa Cruz-Watsonville, CA"
06-087-2001,36.992143,-122.01714,29.0,RESIDENTIAL,SUBURBAN,California,Santa Cruz,87,Santa Cruz,"Santa Cruz-Watsonville, CA"
06-087-4001,36.913813,-121.76018799999999,11.0,COMMERCIAL,URBAN AND CENTER CITY,California,Santa Cruz,87,Watsonville,"Santa Cruz-Watsonville, CA"
06-089-0001,40.467357,-122.28997700000001,125.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Anderson,"Redding, CA"
06-089-0002,40.451541999999996,-122.301115,140.0,COMMERCIAL,URBAN AND CENTER CITY,California,Shasta,89,Anderson,"Redding, CA"
06-089-0004,40.550129999999996,-122.38091999999999,149.0,COMMERCIAL,SUBURBAN,California,Shasta,89,Redding,"Redding, CA"
06-089-0005,40.580706,-122.395009,165.0,COMMERCIAL,URBAN AND CENTER CITY,California,Shasta,89,Redding,"Redding, CA"
06-089-0006,40.584595,-122.386953,152.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Redding,"Redding, CA"
06-089-0007,40.452913,-122.29886599999999,498.0,INDUSTRIAL,SUBURBAN,California,Shasta,89,Anderson,"Redding, CA"
06-089-0008,40.67707,-122.37428999999999,246.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Shasta Lake,"Redding, CA"
06-089-0009,40.689253,-122.402194,246.0,COMMERCIAL,RURAL,California,Shasta,89,Shasta Lake,"Redding, CA"
06-089-1001,40.905159999999995,-121.65332,945.0,INDUSTRIAL,RURAL,California,Shasta,89,Burney,"Redding, CA"
06-089-1002,40.88377,-121.65026499999999,96.0,AGRICULTURAL,RURAL,California,Shasta,89,Burney,"Redding, CA"
06-089-2001,40.549855,-122.38053500000001,149.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Redding,"Redding, CA"
06-089-2002,40.585409999999996,-122.39053600000001,187.0,COMMERCIAL,URBAN AND CENTER CITY,California,Shasta,89,Redding,"Redding, CA"
06-089-3001,40.884325,-121.67082099999999,3100.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Burney,"Redding, CA"
06-089-3002,40.639039000000004,-122.39806399999999,229.0,MOBILE,SUBURBAN,California,Shasta,89,Redding,"Redding, CA"
06-089-3003,40.53999,-121.57646000000001,1755.0,FOREST,RURAL,California,Shasta,89,Not in a City,"Redding, CA"
06-089-3004,40.6304,-122.4031,236.0,RESIDENTIAL,SUBURBAN,California,Shasta,89,Redding,"Redding, CA"
06-089-3005,40.69184,-122.40178999999999,281.0,RESIDENTIAL,RURAL,California,Shasta,89,Shasta Lake,"Redding, CA"
06-091-0001,39.679627,-120.24965,1505.0,RESIDENTIAL,RURAL,California,Sierra,91,Loyalton,
06-093-0001,41.315678000000005,-122.317769,1097.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Siskiyou,93,Mount Shasta,
06-093-0002,41.270990000000005,-122.129171,991.0,UNKNOWN,UNKNOWN,California,Siskiyou,93,McCloud,
06-093-0003,41.60375,-122.844199,838.0,UNKNOWN,UNKNOWN,California,Siskiyou,93,Fort Jones,
06-093-0004,41.308485,-122.333345,1061.0,RESIDENTIAL,SUBURBAN,California,Siskiyou,93,Mount Shasta,
06-093-0005,41.711825,-121.509993,1451.0,AGRICULTURAL,RURAL,California,Siskiyou,93,Lava Beds National Monument,
06-093-0007,41.426551,-122.382231,1334.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Siskiyou,93,Weed,
06-093-1001,41.325984999999996,-122.328623,1036.0,RESIDENTIAL,SUBURBAN,California,Siskiyou,93,Weed,
06-093-1002,41.424594,-122.392794,1077.0,INDUSTRIAL,SUBURBAN,California,Siskiyou,93,Weed,
06-093-2001,41.726892,-122.633579,802.0,COMMERCIAL,SUBURBAN,California,Siskiyou,93,Yreka,
06-093-2002,41.758477,-122.484466,816.0,AGRICULTURAL,RURAL,California,Siskiyou,93,Montague,
06-095-0001,38.052141999999996,-122.145799,18.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Benicia,"Vallejo-Fairfield, CA"
06-095-0002,38.2455,-122.0539,4.0,RESIDENTIAL,SUBURBAN,California,Solano,95,Fairfield,"Vallejo-Fairfield, CA"
06-095-0003,38.106007,-122.23771699999999,29.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Vallejo,"Vallejo-Fairfield, CA"
06-095-0004,38.102507,-122.237976,6.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Vallejo,"Vallejo-Fairfield, CA"
06-095-0005,38.227066,-122.075624,10.0,AGRICULTURAL,RURAL,California,Solano,95,Fairfield,"Vallejo-Fairfield, CA"
06-095-0006,38.0656,-122.1507,109.0,RESIDENTIAL,SUBURBAN,California,Solano,95,Benicia,"Vallejo-Fairfield, CA"
06-095-1001,38.218231,-121.847153,25.0,AGRICULTURAL,RURAL,California,Solano,95,Not in a City,"Vallejo-Fairfield, CA"
06-095-1002,38.157139,-121.692177,12.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Rio Vista,"Vallejo-Fairfield, CA"
06-095-2001,38.14325,-121.694677,5.0,AGRICULTURAL,RURAL,California,Solano,95,Rio Vista,"Vallejo-Fairfield, CA"
06-095-2002,38.102118,-122.239383,8.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Vallejo,"Vallejo-Fairfield, CA"
06-095-3001,38.3514,-121.9941,59.0,COMMERCIAL,URBAN AND CENTER CITY,California,Solano,95,Vacaville,"Vallejo-Fairfield, CA"
06-095-3002,38.352411,-121.962744,55.0,RESIDENTIAL,SUBURBAN,California,Solano,95,Vacaville,"Vallejo-Fairfield, CA"
06-095-3003,38.35655,-121.94986000000002,55.0,COMMERCIAL,SUBURBAN,California,Solano,95,Vacaville,"Vallejo-Fairfield, CA"
06-095-4001,38.108785,-122.248273,16.0,COMMERCIAL,SUBURBAN,California,Solano,95,Vallejo,"Vallejo-Fairfield, CA"
06-095-6001,38.188390000000005,-121.70563999999999,6.0,RESIDENTIAL,SUBURBAN,California,Solano,95,Rio Vista,"Vallejo-Fairfield, CA"
06-097-0001,38.804266999999996,-123.018142,91.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Cloverdale,"Santa Rosa, CA"
06-097-0002,38.610904999999995,-122.868794,30.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Healdsburg,"Santa Rosa, CA"
06-097-0003,38.443503,-122.710169,51.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Santa Rosa,"Santa Rosa, CA"
06-097-0004,38.403765,-122.818294,78.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Sebastopol,"Santa Rosa, CA"
06-097-1001,38.610465999999995,-122.869161,35.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Healdsburg,"Santa Rosa, CA"
06-097-1002,38.188528999999996,-122.63054,14.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Sonoma,97,Petaluma,"Santa Rosa, CA"
06-097-1003,38.654069,-122.901857,84.0,COMMERCIAL,RURAL,California,Sonoma,97,Healdsburg,"Santa Rosa, CA"
06-097-2001,38.233501000000004,-122.648007,4.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Petaluma,"Santa Rosa, CA"
06-097-2002,38.442412,-122.713598,49.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Sonoma,97,Santa Rosa,"Santa Rosa, CA"
06-097-3001,38.439886,-122.71384599999999,54.0,COMMERCIAL,URBAN AND CENTER CITY,California,Sonoma,97,Santa Rosa,"Santa Rosa, CA"
06-097-3002,38.501112,-122.998181,12.0,MOBILE,URBAN AND CENTER CITY,California,Sonoma,97,Guerneville,"Santa Rosa, CA"
06-097-4001,38.295747,-122.45775800000001,20.0,RESIDENTIAL,SUBURBAN,California,Sonoma,97,Sonoma,"Santa Rosa, CA"
06-097-5001,38.506024,-122.997221,17.0,INDUSTRIAL,URBAN AND CENTER CITY,California,Sonoma,97,Guerneville,"Santa Rosa, CA"
06-097-6001,38.417359999999995,-122.76167,29.0,RESIDENTIAL,SUBURBAN,California,Sonoma,97,Santa Rosa,"Santa Rosa, CA"
06-097-6002,38.131609999999995,-122.47466999999999,0.0,RESIDENTIAL,SUBURBAN,California,Sonoma,97,Not in a City,"Santa Rosa, CA"
06-099-0001,37.640763,-120.99937800000001,53.0,COMMERCIAL,URBAN AND CENTER CITY,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-0002,37.648819,-120.997712,27.0,RESIDENTIAL,URBAN AND CENTER CITY,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-0003,37.641597,-120.994656,27.0,RESIDENTIAL,SUBURBAN,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-0004,37.686318,-121.043547,27.0,RESIDENTIAL,SUBURBAN,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-0005,37.642165000000006,-120.994212,27.0,COMMERCIAL,URBAN AND CENTER CITY,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-0006,37.488316999999995,-120.836008,56.0,RESIDENTIAL,SUBURBAN,California,Stanislaus,99,Turlock,"Modesto, CA"
06-099-0010,37.642152,-120.994656,8.0,COMMERCIAL,URBAN AND CENTER CITY,California,Stanislaus,99,Modesto,"Modesto, CA"
06-099-1002,37.492713,-120.84853799999999,103.0,UNKNOWN,UNKNOWN,California,Stanislaus,99,Turlock,"Modesto, CA"
06-099-1003,37.522712,-120.86770700000001,40.0,COMMERCIAL,RURAL,California,Stanislaus,99,Turlock,"Modesto, CA"
